CN101010100, 北京
CN101260512, 雷山
CN101260513, 黎平
CN101260514, 天柱
CN101260515, 锦屏
CN101260516, 榕江
CN101260517, 从江
CN101260601, 铜仁
CN101260602, 江口
CN101260603, 玉屏
CN101260604, 万山
CN101260605, 思南
CN101260606, 碧江
CN101260607, 印江
CN101260608, 石阡
CN101260609, 沿河
CN101260610, 德江
CN101260611, 松桃
CN101260701, 毕节
CN101260702, 赫章
CN101260703, 金沙
CN101260704, 威宁
CN101260705, 大方
CN101260706, 纳雍
CN101260707, 织金
CN101260708, 黔西
CN101260709, 七星关
CN101260801, 水城
CN101260802, 六枝
CN101260803, 六盘水
CN101260804, 盘县
CN101260805, 钟山
CN101260901, 兴义
CN101260902, 晴隆
CN101260903, 兴仁
CN101260904, 贞丰
CN101260905, 望谟
CN101260906, 黔西南
CN101260907, 安龙
CN101260908, 册亨
CN101260909, 普安
CN101270101, 成都
CN101270102, 龙泉驿
CN101270103, 新都
CN101270104, 温江
CN101270105, 金堂
CN101270106, 双流
CN101270107, 郫都
CN101270108, 大邑
CN101270109, 蒲江
CN101270110, 新津
CN101270111, 都江堰
CN101270112, 彭州
CN101270113, 邛崃
CN101270114, 崇州
CN101270115, 青白江
CN101270116, 锦江
CN101270117, 青羊
CN101270118, 金牛
CN101270119, 武侯
CN101270120, 成华
CN101270121, 简阳
CN101270201, 攀枝花
CN101270202, 仁和
CN101270203, 米易
CN101270204, 盐边
CN101270205, 东区
CN101270206, 西区
CN101270301, 自贡
CN101270302, 富顺
CN101270303, 荣县
CN101270304, 自流井
CN101270305, 贡井
CN101270306, 大安
CN101270307, 沿滩
CN101270401, 绵阳
CN101270402, 三台
CN101270403, 盐亭
CN101270404, 安县
CN101270405, 梓潼
CN101270406, 北川
CN101270407, 平武
CN101270408, 江油
CN101270409, 涪城
CN101270410, 游仙
CN101270411, 安州
CN101270501, 南充
CN101270502, 南部
CN101270503, 营山
CN101270504, 蓬安
CN101270505, 仪陇
CN101270506, 西充
CN101270507, 阆中
CN101270508, 顺庆
CN101270509, 高坪
CN101270510, 嘉陵
CN101270601, 达州
CN101270602, 宣汉
CN101270603, 开江
CN101270604, 大竹
CN101270605, 渠县
CN101270606, 万源
CN101270607, 通川
CN101270608, 达川
CN101270701, 遂宁
CN101270702, 蓬溪
CN101270703, 射洪
CN101270704, 船山
CN101270705, 安居
CN101270706, 大英
CN101270801, 广安
CN101270802, 岳池
CN101270803, 武胜
CN101270804, 邻水
CN101270805, 华蓥
CN101270806, 前锋
CN101270901, 巴中
CN101270902, 通江
CN101270903, 南江
CN101270904, 平昌
CN101270905, 巴州
CN101270906, 恩阳
CN101271001, 泸州
CN101271002, 江阳
CN101271003, 泸县
CN101271004, 合江
CN101271005, 叙永
CN101271006, 古蔺
CN101271007, 纳溪
CN101271008, 龙马潭
CN101271101, 宜宾
CN101271102, 翠屏
CN101271103, 叙州区
CN101271104, 南溪
CN101271105, 江安
CN101271106, 长宁
CN101271107, 高县
CN101271108, 珙县
CN101271109, 筠连
CN101271110, 兴文
CN101271111, 屏山
CN101271201, 内江
CN101271202, 东兴
CN101271203, 威远
CN101271204, 资中
CN101271205, 隆昌
CN101271206, 市中
CN101271301, 资阳
CN101271302, 安岳
CN101271303, 乐至
CN101271305, 雁江
CN101271401, 乐山
CN101271402, 犍为
CN101271403, 井研
CN101271404, 夹江
CN101271405, 沐川
CN101271406, 峨边
CN101271407, 马边
CN101271409, 峨眉山
CN101271410, 市中
CN101271411, 沙湾
CN101271412, 五通桥
CN101271413, 金口河
CN101271501, 眉山
CN101271502, 仁寿
CN101271503, 彭山
CN101271504, 洪雅
CN101271505, 丹棱
CN101271506, 青神
CN101271507, 东坡
CN101271601, 凉山
CN101271603, 木里
CN101271604, 盐源
CN101271605, 德昌
CN101271606, 会理
CN101271607, 会东
CN101271608, 宁南
CN101271609, 普格
CN101271610, 西昌
CN101271611, 金阳
CN101271612, 昭觉
CN101271613, 喜德
CN101271614, 冕宁
CN101271615, 越西
CN101271616, 甘洛
CN101271617, 雷波
CN101271618, 美姑
CN101271619, 布拖
CN101271701, 雅安
CN101271702, 名山
CN101271703, 荥经
CN101271704, 汉源
CN101271705, 石棉
CN101271706, 天全
CN101271707, 芦山
CN101271708, 宝兴
CN101271709, 雨城
CN101271801, 甘孜
CN101271802, 康定
CN101271803, 泸定
CN101271804, 丹巴
CN101271805, 九龙
CN101271806, 雅江
CN101271807, 道孚
CN101271808, 炉霍
CN101271809, 新龙
CN101271810, 德格
CN101271811, 白玉
CN101271812, 石渠
CN101271813, 色达
CN101271814, 理塘
CN101271815, 巴塘
CN101271816, 乡城
CN101271817, 稻城
CN101271818, 得荣
CN101271901, 阿坝
CN101271902, 汶川
CN101271903, 理县
CN101271904, 茂县
CN101271905, 松潘
CN101271906, 九寨沟
CN101271907, 金川
CN101271908, 小金
CN101271909, 黑水
CN101271910, 马尔康
CN101271911, 壤塘
CN101271912, 若尔盖
CN101271913, 红原
CN101272001, 德阳
CN101272002, 中江
CN101272003, 广汉
CN101272004, 什邡
CN101272005, 绵竹
CN101272006, 罗江
CN101272007, 旌阳
CN101272101, 广元
CN101272102, 旺苍
CN101272103, 青川
CN101272104, 剑阁
CN101272105, 苍溪
CN101272106, 利州
CN101272107, 昭化
CN101272108, 朝天
CN101280101, 广州
CN101280102, 番禺
CN101280103, 从化
CN101280104, 增城
CN101280105, 花都
CN101280106, 荔湾
CN101280107, 越秀
CN101280108, 海珠
CN101280109, 天河
CN101280110, 白云
CN101280111, 黄埔
CN101280112, 南沙
CN101280201, 韶关
CN101280202, 乳源
CN101280203, 始兴
CN101280204, 翁源
CN101280205, 乐昌
CN101280206, 仁化
CN101280207, 南雄
CN101280208, 新丰
CN101280209, 曲江
CN101280210, 浈江
CN101280211, 武江
CN101280301, 惠州
CN101280302, 博罗
CN101280303, 惠阳
CN101280304, 惠东
CN101280305, 龙门
CN101280306, 惠城
CN101280401, 梅州
CN101280402, 兴宁
CN101280403, 蕉岭
CN101280404, 大埔
CN101280405, 梅江
CN101280406, 丰顺
INSERT INTO `city` `id`, `cityZh`
CN101280407, 平远
CN101280408, 五华
CN101280409, 梅县
CN101280501, 汕头
CN101280502, 潮阳
CN101280503, 澄海
CN101280504, 南澳
CN101280505, 龙湖
CN101280506, 金平
CN101280507, 濠江
CN101280508, 潮南
CN101280601, 深圳
CN101280602, 罗湖
CN101280603, 福田
CN101280604, 南山
CN101280605, 宝安
CN101280606, 龙岗
CN101280607, 盐田
CN101280608, 龙华
CN101280609, 坪山
CN101280701, 珠海
CN101280702, 斗门
CN101280703, 金湾
CN101280704, 香洲
CN101280800, 佛山
CN101280801, 顺德
CN101280802, 三水
CN101280803, 南海
CN101280804, 高明
CN101280805, 禅城
CN101280901, 肇庆
CN101280902, 广宁
CN101280903, 四会
CN101280904, 端州
CN101280905, 德庆
CN101280906, 怀集
CN101280907, 封开
CN101280908, 高要
CN101280909, 鼎湖
CN101281001, 湛江
CN101281002, 吴川
CN101281003, 雷州
CN101281004, 徐闻
CN101281005, 廉江
CN101281006, 赤坎
CN101281007, 遂溪
CN101281008, 坡头
CN101281009, 霞山
CN101281010, 麻章
CN101281101, 江门
CN101281103, 开平
CN101281104, 新会
CN101281105, 恩平
CN101281106, 台山
CN101281107, 蓬江
CN101281108, 鹤山
CN101281109, 江海
CN101281201, 河源
CN101281202, 紫金
CN101281203, 连平
CN101281204, 和平
CN101281205, 龙川
CN101281206, 东源
CN101281207, 源城
CN101281301, 清远
CN101281302, 连南
CN101281303, 连州
CN101281304, 连山
CN101281305, 阳山
CN101281306, 佛冈
CN101281307, 英德
CN101281308, 清新
CN101281309, 清城
CN101281401, 云浮
CN101281402, 罗定
CN101281403, 新兴
CN101281404, 郁南
CN101281405, 云城
CN101281406, 云安
CN101281501, 潮州
CN101281502, 饶平
CN101281503, 潮安
CN101281504, 湘桥
CN101281601, 东莞
CN101281701, 中山
CN101281801, 阳江
CN101281802, 阳春
CN101281803, 阳东
CN101281804, 阳西
CN101281805, 江城
CN101281901, 揭阳
CN101281902, 揭西
CN101281903, 普宁
CN101281904, 惠来
CN101281905, 揭东
CN101281906, 榕城
CN101282001, 茂名
CN101282002, 高州
CN101282003, 化州
CN101282004, 电白
CN101282005, 信宜
CN101282007, 茂南
CN101282101, 汕尾
CN101282102, 海丰
CN101282103, 陆丰
CN101282104, 陆河
CN101290101, 昆明
CN101290102, 五华
CN101290103, 东川
CN101290104, 寻甸
CN101290105, 晋宁
CN101290106, 宜良
CN101290107, 石林
CN101290108, 呈贡
CN101290109, 富民
CN101290110, 嵩明
CN101290111, 禄劝
CN101290112, 安宁
CN101290114, 盘龙
CN101290115, 官渡
CN101290116, 西山
CN101290201, 大理
CN101290202, 云龙
CN101290203, 漾濞
CN101290204, 永平
CN101290205, 宾川
CN101290206, 弥渡
CN101290207, 祥云
CN101290208, 巍山
CN101290209, 剑川
CN101290210, 洱源
CN101290211, 鹤庆
CN101290212, 南涧
CN101290301, 红河
CN101290302, 石屏
CN101290303, 建水
CN101290304, 弥勒
CN101290305, 元阳
CN101290306, 绿春
CN101290307, 开远
CN101290308, 个旧
CN101290309, 蒙自
CN101290310, 屏边
CN101290311, 泸西
CN101290312, 金平
CN101290313, 河口
CN101290401, 曲靖
CN101290402, 沾益
CN101290403, 陆良
CN101290404, 富源
CN101290405, 马龙
CN101290406, 师宗
CN101290407, 罗平
CN101290408, 会泽
CN101290409, 宣威
CN101290410, 麒麟
CN101290501, 保山
CN101290502, 隆阳
CN101290503, 龙陵
CN101290504, 施甸
CN101290505, 昌宁
CN101290506, 腾冲
CN101290601, 文山
CN101290602, 西畴
CN101290603, 马关
CN101290604, 麻栗坡
CN101290605, 砚山
CN101290606, 丘北
CN101290607, 广南
CN101290608, 富宁
CN101290701, 玉溪
CN101290702, 澄江
CN101290703, 江川
CN101290704, 通海
CN101290705, 华宁
CN101290706, 新平
CN101290707, 易门
CN101290708, 峨山
CN101290709, 元江
CN101290710, 红塔
CN101290801, 楚雄
CN101290802, 大姚
CN101290803, 元谋
CN101290804, 姚安
CN101290805, 牟定
CN101290806, 南华
CN101290807, 武定
CN101290808, 禄丰
CN101290809, 双柏
CN101290810, 永仁
CN101290901, 普洱
CN101290902, 景谷
CN101290903, 景东
CN101290904, 澜沧
CN101290905, 思茅
CN101290906, 墨江
CN101290907, 江城
CN101290908, 孟连
CN101290909, 西盟
CN101290911, 镇沅
CN101290912, 宁洱
CN101291001, 昭通
CN101291002, 鲁甸
CN101291003, 彝良
CN101291004, 镇雄
CN101291005, 威信
CN101291006, 巧家
CN101291007, 绥江
CN101291008, 永善
CN101291009, 盐津
CN101291010, 大关
CN101291011, 水富
CN101291012, 昭阳
CN101291101, 临沧
CN101291102, 沧源
CN101291103, 耿马
CN101291104, 双江
CN101291105, 凤庆
CN101291106, 永德
CN101291107, 云县
CN101291108, 镇康
CN101291109, 临翔
CN101291201, 怒江
CN101291203, 福贡
CN101291204, 兰坪
CN101291205, 泸水
CN101291207, 贡山
CN101291301, 香格里拉
CN101291302, 德钦
CN101291303, 维西
CN101291305, 迪庆
CN101291401, 丽江
CN101291402, 永胜
CN101291403, 华坪
CN101291404, 宁蒗
CN101291405, 古城
CN101291406, 玉龙
CN101291501, 德宏
CN101291503, 陇川
CN101291504, 盈江
CN101291506, 瑞丽
CN101291507, 梁河
CN101291508, 芒市
CN101291601, 景洪
CN101291602, 西双版纳
CN101291603, 勐海
CN101291605, 勐腊
CN101300101, 南宁
CN101300102, 兴宁
CN101300103, 邕宁
CN101300104, 横县
CN101300105, 隆安
CN101300106, 马山
CN101300107, 上林
CN101300108, 武鸣
CN101300109, 宾阳
CN101300110, 青秀
CN101300111, 江南
CN101300112, 西乡塘
CN101300113, 良庆
CN101300201, 崇左
CN101300202, 天等
CN101300203, 龙州
CN101300204, 凭祥
CN101300205, 大新
CN101300206, 扶绥
CN101300207, 宁明
CN101300208, 江州
CN101300301, 柳州
CN101300302, 柳城
CN101300303, 城中
CN101300304, 鹿寨
CN101300305, 柳江
CN101300306, 融安
CN101300307, 融水
CN101300308, 三江
CN101300309, 鱼峰
CN101300310, 柳南
CN101300311, 柳北
CN101300401, 来宾
CN101300402, 忻城
CN101300403, 金秀
CN101300404, 象州
CN101300405, 武宣
CN101300406, 合山
CN101300407, 兴宾
CN101300501, 桂林
CN101300502, 秀峰
CN101300503, 龙胜
CN101300504, 永福
CN101300505, 临桂
CN101300506, 兴安
CN101300507, 灵川
CN101300508, 全州
CN101300509, 灌阳
CN101300510, 阳朔
CN101300511, 恭城
CN101300512, 平乐
CN101300513, 荔浦
CN101300514, 资源
CN101300515, 叠彩
CN101300516, 象山
CN101300517, 七星
CN101300518, 雁山
CN101300601, 梧州
CN101300602, 藤县
CN101300603, 万秀
CN101300604, 苍梧
CN101300605, 蒙山
CN101300606, 岑溪
CN101300607, 长洲
CN101300608, 龙圩
CN101300701, 贺州
CN101300702, 昭平
CN101300703, 富川
CN101300704, 钟山
CN101300705, 八步
CN101300706, 平桂
CN101300801, 贵港
CN101300802, 桂平
CN101300803, 平南
CN101300804, 港北
CN101300805, 港南
CN101300806, 覃塘
CN101300901, 玉林
CN101300902, 博白
CN101300903, 北流
CN101300904, 容县
CN101300905, 陆川
CN101300906, 兴业
CN101300907, 玉州
CN101300908, 福绵
CN101301001, 百色
CN101301002, 那坡
CN101301003, 田阳
CN101301004, 德保
CN101301005, 靖西
CN101301006, 田东
CN101301007, 平果
CN101301008, 隆林
CN101301009, 西林
CN101301010, 乐业
CN101301011, 凌云
CN101301012, 田林
CN101301013, 右江
CN101301101, 钦州
CN101301102, 浦北
CN101301103, 灵山
CN101301104, 钦南
CN101301105, 钦北
CN101301201, 河池
CN101301202, 天峨
CN101301203, 东兰
CN101301204, 巴马
CN101301205, 环江
CN101301206, 罗城
CN101301207, 宜州
CN101301208, 凤山
CN101301209, 南丹
CN101301210, 都安
CN101301211, 大化
CN101301212, 金城江
CN101301301, 北海
CN101301302, 合浦
CN101301304, 海城
CN101301305, 银海
CN101301306, 铁山港
CN101301401, 防城港
CN101301402, 上思
CN101301403, 东兴
CN101301404, 港口
CN101301405, 防城
CN101310101, 海口
CN101310102, 秀英
CN101310103, 龙华
CN101310104, 琼山
CN101310105, 美兰
CN101310201, 三亚
CN101310202, 东方
CN101310203, 临高
CN101310204, 澄迈
CN101310205, 儋州
CN101310206, 昌江
CN101310207, 白沙
CN101310208, 琼中
CN101310209, 定安
CN101310210, 屯昌
CN101310211, 琼海
CN101310212, 文昌
CN101310213, 海棠
CN101310214, 保亭
CN101310215, 万宁
CN101310216, 陵水
CN101310218, 吉阳
CN101310219, 天涯
CN101310221, 乐东
CN101310222, 五指山
CN101310223, 崖州
CN101310301, 三沙
CN101310302, 西沙
CN101310303, 中沙
CN101310304, 南沙
CN101320101, 香港
CN101320102, 九龙
CN101320103, 新界
CN101330101, 澳门
CN101330102, 氹仔岛
CN101330103, 路环岛
CN101340101, 台北
CN101340102, 桃园
CN101340103, 新竹
CN101340104, 宜兰
CN101340201, 高雄
CN101340202, 嘉义
CN101340203, 台南
CN101340204, 台东
CN101340205, 屏东
CN101340401, 台中
CN101340402, 苗栗
CN101340403, 彰化
CN101340404, 南投
CN101340405, 花莲
CN101340406, 云林
